Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
1163,,,,,,,,1163,Groundbreaking for the Cathedral of Notre-Dame,,,,,,,,
1345,,,,,,,,1345,Completion of the Cathedral of Notre-Dame,,https://www.basiliquenotredame.ca/documents/24012/24044/Retable.jpg/cd05ebb5-59e2-4826-bf01-a294e7dbf073?t=1463772611000,,,,,,
1602,,,,,,,,1602,Original agreement,This is the agreement that was renewed in the depicted scene.,,,,,,,
1619,2,24,,,,,,"February 24, 1619",Birth of Charles Le Brun,Le Brun is the designer of the carpet.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Charles_Le_Brun_002.jpg/924px-Charles_Le_Brun_002.jpg,,,,,,
1654,6,7,,,,,,"June 7, 1654",Coronation of Louis XIV,The scene is the subject of another carpet from this series.,https://c7.alamy.com/comp/P0TB79/the-coronation-of-louis-xiv-june-7-1654-cardinal-mazarin-his-prime-minister-in-cardinals-purple-in-right-corner-foreground-author-charles-le-brun-1619-1690-location-musee-des-gobelins-paris-france-P0TB79.jpg,,,,,,
1660,6,9,,,,,,"June 9, 1660",Marriage of Louis XIV,The scene is the subject of another carpet from this series.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Marriage_of_Louis_XIV_with_Marie-Therese_of_Austria.jpg/517px-Marriage_of_Louis_XIV_with_Marie-Therese_of_Austria.jpg,,,,,,
1663,11,18,,,,,,"November 18, 1663",Displayed event,The mayor of Zurich meets Louis XIV to renew an agreement between the Swiss Confederation and France.,http://webcollection-images.nationalmuseum.ch/529/DIG-3524.jpg,,,,,,
1665,,,,,,,,1655,First edition of the series,,,,,,,,
1690,2,12,,,,,,"February 12, 1690",Death of Charles Le Brun,Le Brun is the designer of the carpet.,http://en.chateauversailles.fr/sites/default/files/lebrunss_0.jpg,,,,,,
1715,9,1,,,,,,"September 1, 1715",Death of Louis XIV,,https://upload.wikimedia.org/wikipedia/en/8/8e/La_Mort_de_Louis_XIV.jpg,,,,,,
1731,,,,,,,,1729-1734,Production of the carpet,,,,,,,,
1742,,,,,,,,1742,Last edition of the series,,,,,,,,
1870,,,,,,,,1870,Carpet becomes part of a private collection in Florence,,,,,,,,
1896,,,,,,,,1896,Carpet is acquired by the Gottfried Keller Foundation,,https://upload.wikimedia.org/wikipedia/commons/6/69/Unknown_Photographer_Gottfried_Keller_1870.jpg,,,,,,
1898,,,,,,,,1898,Carpet is deposited in the National Museum,,https://www.eguide.ch/wp-content/uploads/3353/Ans_05308-008-AL_foto_b_korr.jpg,,,,,,
